country,year,population,hdi,wage_gap_pct
Afghanistan,2014,32792523,0.496,5.490989814573015
Albania,2018,2866376,0.81,8.531842489061752
Argentina,2013,42582455,0.865,7.489802084907089
Argentina,2014,43024071,0.865,5.584011843079205
Argentina,2017,44288894,0.865,6.305958533092588
Argentina,2018,44654882,0.865,9.643605870020973
Argentina,2019,44973465,0.865,5.6451950882192925
Argentina,2020,45191965,0.865,13.108447995265578
Argentina,2021,45312281,0.865,12.183122651178687
Argentina,2022,45407904,0.865,6.543769019914405
Argentina,2023,45538401,0.865,7.0569386919120625
"Bolivia (Plurinational State of)",2021,11937360,0.733,10.721746396490481
"Bolivia (Plurinational State of)",2022,12077154,0.733,6.756182995435722
"Bolivia (Plurinational State of)",2023,12244159,0.733,12.423063666354826
"Bosnia and Herzegovina",2013,3610859,0.804,11.088174579769975
"Bosnia and Herzegovina",2014,3564829,0.804,9.657320872274147
"Bosnia and Herzegovina",2016,3473003,0.804,12.157107231920197
"Bosnia and Herzegovina",2020,3299349,0.804,9.29557007988381
"Bosnia and Herzegovina",2021,3244907,0.804,6.948757763975144
"Bosnia and Herzegovina",2022,3204802,0.804,9.98366309675076
"Bosnia and Herzegovina",2023,3185073,0.804,8.844970030779185
Brazil,2013,198478299,0.786,16.379928315412194
Brazil,2014,200085127,0.786,19.509896324222396
Brazil,2015,201675532,0.786,18.543766054139503
Brazil,2016,203218114,0.786,18.157755426151404
Brazil,2017,204703445,0.786,19.63091304698203
Brazil,2018,206107261,0.786,18.83764529433819
Brazil,2019,207455459,0.786,22.07357859531773
Brazil,2020,208660842,0.786,20.859609379783254
Brazil,2021,209550294,0.786,15.546552846704772
Brazil,2022,210306415,0.786,17.984810789577047
Brazil,2023,211140729,0.786,19.77951842181608
Cambodia,2013,15170208,0.606,5.548695542046602
Cambodia,2014,15396772,0.606,18.61317446050636
Cambodia,2015,15623251,0.606,8.083130773346776
Cambodia,2016,15852803,0.606,12.175684633346885
Cambodia,2019,16481304,0.606,6.387460067466415
Cambodia,2020,16725474,0.606,20.890075413639924
Cambodia,2021,16974305,0.606,16.203180469074816
Cambodia,2023,17423880,0.606,14.208693532597106
Chile,2013,17687006,0.878,22.288312134754207
Chile,2014,17864195,0.878,22.24156410714456
Chile,2015,18047625,0.878,22.60766519016127
Chile,2016,18267221,0.878,20.73853287524637
Chile,2017,18558868,0.878,22.55420394298013
Chile,2018,18893191,0.878,24.40660311479176
Chile,2020,19370624,0.878,19.450981953544744
Chile,2021,19456334,0.878,14.317263720036182
Chile,2022,19553036,0.878,21.23280147133137
Chile,2023,19658835,0.878,20.841977946500172
Colombia,2022,51737944,0.788,5.6178862216391465
Colombia,2023,52321152,0.788,4.543822849962245
Denmark,2014,5643475,0.962,15.711454821525084
Egypt,2013,95333553,0.754,16.904945904173122
Egypt,2015,99597342,0.754,13.705062362435818
Egypt,2016,101644589,0.754,18.336204774796954
Egypt,2017,103696057,0.754,13.551825810841478
Egypt,2018,105682094,0.754,15.025779523692604
Egypt,2019,107553158,0.754,5.914739657070953
Egypt,2020,109315124,0.754,9.40568912969861
Egypt,2021,110957008,0.754,1.0350921484473414
Egypt,2022,112618250,0.754,5.387178028764125
Egypt,2023,114535772,0.754,6.106146764148396
"El Salvador",2013,6138839,0.678,2.816153028692886
"El Salvador",2014,6162955,0.678,4.243743199129513
"El Salvador",2015,6183676,0.678,7.025884838880095
"El Salvador",2016,6200800,0.678,9.61538461538462
"El Salvador",2019,6222318,0.678,4.373177842565592
Finland,2013,5438972,0.948,14.782640040372009
Finland,2014,5461512,0.948,14.759962796022036
Finland,2016,5495303,0.948,14.578967929822085
Finland,2017,5508214,0.948,14.640250995875512
Finland,2020,5529543,0.948,14.66209262435677
Finland,2021,5541017,0.948,15.945123924157137
Finland,2022,5556106,0.948,15.802861685214623
France,2013,65997932,0.92,9.625611572005948
France,2014,66312067,0.92,9.537603261452636
France,2015,66548272,0.92,8.542659159809448
France,2016,66724104,0.92,7.9114617576156165
France,2017,66918020,0.92,10.896011848090549
France,2018,67158348,0.92,8.404499062695269
France,2019,67382061,0.92,12.11607499002792
France,2020,67601110,0.92,10.267728624892044
Germany,2014,80982500,0.959,21.814665025496748
Germany,2018,82905782,0.959,19.365130518852713
Germany,2021,83196078,0.959,17.251081596224253
Germany,2022,83797985,0.959,19.09075224292615
Guyana,2018,791556,0.776,18.73855949064863
Guyana,2019,807665,0.776,10.500898125321505
Honduras,2015,9237305,0.645,0.9211437090676664
Honduras,2016,9412380,0.645,11.401864548907412
Honduras,2017,9588137,0.645,17.374293580640497
Honduras,2018,9765210,0.645,6.90203401806896
Honduras,2019,9943633,0.645,9.92370052455888
Honduras,2023,10644851,0.645,3.6261787275888233
Iceland,2014,327386,0.972,23.435843054082707
Iceland,2015,330815,0.972,23.8295124313852
Iceland,2016,335439,0.972,24.164677804295934
Iceland,2017,343400,0.972,23.17656998028724
Iceland,2021,372520,0.972,19.497971602434085
Iceland,2022,382003,0.972,17.037399168907363
India,2018,1374659064,0.685,29.117450668877083
India,2019,1389030312,0.685,27.287374841753937
India,2020,1402617695,0.685,24.701269993535327
India,2021,1414203896,0.685,25.99726074302345
India,2022,1425423212,0.685,20.398823144818557
India,2023,1438069596,0.685,20.56006310570207
Indonesia,2013,255852467,0.728,21.59110734162285
Indonesia,2014,258877399,0.728,25.70756983902965
Indonesia,2015,261799249,0.728,21.17296334235163
Indonesia,2016,264627418,0.728,22.46847809298824
Indonesia,2017,267346658,0.728,20.193146231210793
Indonesia,2019,272489381,0.728,22.01210412288164
Indonesia,2020,274814866,0.728,20.234509973287622
Indonesia,2021,276758053,0.728,12.9245633297013
Indonesia,2022,278830529,0.728,13.451951780020044
Indonesia,2023,281190067,0.728,25.169123923951936
