country,year,gender,weighted_avg_hourly_earnings_usd,total_employment,population,hdi
"El Salvador",2023,M,20.49,9728.289000000002,6309624,0.678
"El Salvador",2023,F,21.610000000000003,7426.074,6309624,0.678
"El Salvador",2022,M,17.139999999999997,9630.383,6280319,0.678
"El Salvador",2022,F,21.18,7020.278000000001,6280319,0.678
"El Salvador",2021,M,18.07,9367.56,6255782,0.678
"El Salvador",2021,F,19.94,6714.3989999999985,6255782,0.678
"El Salvador",2019,M,20.58,9877.097000000002,6222318,0.678
"El Salvador",2019,F,19.68,7030.216000000002,6222318,0.678
"El Salvador",2018,M,18.38,9553.180999999997,6219807,0.678
"El Salvador",2018,F,19.240000000000002,6795.004,6219807,0.678
"El Salvador",2017,M,18.689999999999998,9336.023999999998,6213533,0.678
"El Salvador",2017,F,18.72,6656.471000000001,6213533,0.678
"El Salvador",2016,M,18.72,9152.997,6200800,0.678
"El Salvador",2016,F,16.919999999999998,6694.978,6200800,0.678
"El Salvador",2015,M,18.93,9032.159000000001,6183676,0.678
"El Salvador",2015,F,17.599999999999998,6461.837,6183676,0.678
"El Salvador",2014,M,18.380000000000003,8820.233999999999,6162955,0.678
"El Salvador",2014,F,17.599999999999998,6556.309,6162955,0.678
"El Salvador",2013,M,18.82,8756.610999999999,6138839,0.678
"El Salvador",2013,F,18.29,6537.340000000001,6138839,0.678
Colombia,2023,M,17.290219153920926,78021.017,52321152,0.788
Colombia,2023,F,16.50458222519652,55294.416999999994,52321152,0.788
Colombia,2022,M,16.075403828106985,76180.26000000001,51737944,0.788
Colombia,2022,F,15.172305931374911,52720.04799999998,51737944,0.788
Colombia,2021,M,11.93169783042549,73333.97200000001,51188173,0.788
Colombia,2021,F,12.503962860328052,47898.664000000004,51188173,0.788
Colombia,2019,M,14.068542103040812,73204.645,49907985,0.788
Colombia,2019,F,14.442869166745508,51303.36900000003,49907985,0.788
Colombia,2018,M,13.970553350206274,72816.46699999999,49024465,0.788
Colombia,2018,F,14.604781276629396,51427.99100000001,49024465,0.788
Colombia,2017,M,13.558166173167399,71902.432,48131078,0.788
