continent,country_clean,ISO_A,year,sector,indicator,indicator_group,age_group,education_level,HDI_2023,avg_m,avg_f,gap_abs,gap_pct,rows_count
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.786,0.17933333333333334,0.030666666666666665,0.14866666666666667,82.8996282527881,6
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.786,0.3135,0.08449999999999999,0.229,73.04625199362042,4
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.786,2.2883333333333336,1.2876666666666665,1.000666666666667,43.72906045156593,6
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.786,0.5483333333333333,0.581,-0.03266666666666662,-5.95744680851063,12
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Child (<15)","Not stated",0.786,0.032,0.042,-0.010000000000000002,-31.250000000000007,4
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.786,0.09413333333333332,0.01516666666666667,0.07896666666666664,83.88810198300281,27
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.786,0.15130000000000002,0.04757142857142858,0.10372857142857145,68.55820980077425,17
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.786,1.1407333333333334,0.6352,0.5055333333333334,44.31652153585413,30
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.786,0.29818518518518533,0.3256666666666667,-0.027481481481481385,-9.216246429014992,54
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.786,0.06366666666666668,0.028666666666666663,0.03500000000000002,54.973821989528815,12
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.786,0.08962500000000001,0.08249999999999999,0.00712500000000002,7.949790794979101,10
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.786,0.6435833333333334,0.4867777777777778,0.1568055555555556,24.364452501186936,21
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.786,0.1999444444444444,0.21316666666666662,-0.013222222222222219,-6.612948041122533,36
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)","Not stated",0.786,0.032,0.042,-0.010000000000000002,-31.250000000000007,4
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)","Not stated",0.786,0.009,0.013,-0.004,-44.44444444444445,16
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.786,0.01625,0.008,0.00825,50.76923076923077,14
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.786,0.041666666666666664,0.022000000000000002,0.019666666666666662,47.19999999999999,12
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.786,0.20300000000000004,0.11916666666666664,0.0838333333333334,41.29720853858787,24
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.786,0.05972727272727273,0.05920000000000001,0.0005272727272727235,0.8828006088279996,42
Oceania,Palau,PLW_A,2020,Other,"Labour Force","Labour Force","Senior (55+)","Not stated",0.786,0.006999999999999999,0.013,-0.006,-85.71428571428572,12
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.786,0.09666666666666666,0.044,0.05266666666666667,54.48275862068965,4
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.786,0.34099999999999997,0.201,0.13999999999999996,41.055718475073306,3
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.786,1.5443333333333331,0.984,0.5603333333333331,36.28318584070796,6
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.786,0.8896000000000001,0.8638,0.025800000000000045,2.9001798561151126,10
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Child (<15)","Not stated",0.786,0.045,0.072,-0.026999999999999996,-60,4
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.786,0.2181428571428571,0.09719999999999998,0.12094285714285713,55.44204322200393,12
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.786,0.7859999999999998,0.5021333333333334,0.2838666666666664,36.11535199321456,30
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.786,0.518590909090909,0.4991818181818182,0.019409090909090765,3.7426593040581726,44
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Adults (25-54)","Not stated",0.786,0.045,0.072,-0.026999999999999996,-60,4
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.786,0.162,0.201,-0.03900000000000001,-24.07407407407408,6
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.786,0.43958333333333327,0.37977777777777777,0.0598055555555555,13.605055292259074,21
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.786,0.44399999999999995,0.3580000000000001,0.08599999999999985,19.369369369369338,25
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Youth (15-24)","Not stated",0.786,0.029,0.04,-0.011,-37.93103448275862,12
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.786,0.09666666666666666,0.044,0.05266666666666667,54.48275862068965,4
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.786,0.05616666666666666,NULL,NULL,NULL,6
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.786,0.079,0.029,0.05,63.29113924050633,4
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.786,0.228,0.09100000000000001,0.137,60.08771929824561,14
Oceania,Palau,PLW_A,2014,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.786,0.09316666666666668,0.1,-0.00683333333333333,-7.334525939177097,20
Oceania,Palau,PLW_A,2020,Other,"Labour Participation Rate","Labour Force","Child (<15)","Not stated",0.786,73.559,59.212,14.346999999999994,19.504071561603602,2
Oceania,Palau,PLW_A,2020,Other,"Labour Participation Rate","Labour Force","Adults (25-54)","Not stated",0.786,89.5150909090909,80.14590909090909,9.369181818181815,10.466594764112905,22
Oceania,Palau,PLW_A,2020,Other,"Labour Participation Rate","Labour Force","Youth (15-24)","Not stated",0.786,36.4448,28.2348,8.21,22.527219246641497,10
Oceania,Palau,PLW_A,2020,Other,"Labour Participation Rate","Labour Force","Senior (55+)","Not stated",0.786,51.08914285714286,36.66057142857142,14.428571428571438,28.2419524416706,14
Oceania,Palau,PLW_A,2014,Other,"Labour Participation Rate","Labour Force","Child (<15)","Not stated",0.786,73.27,55.56,17.709999999999994,24.170874846458297,2
