category,continent,ISO_A,country_clean,year,indicator,gender,classif_type1,classif_type2,sector,value,HDI_2023,age_group,education_level,unit,value_usd,scale,population,indicator_abbr,indicator_group
"Top 5",Oceania,PLW_A,Palau,2020,"Unemployment Rate",M,15+,NULL,Other,0.58,0.786,"Child (<15)","Not stated",%,0.58,relative,17792,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2020,"Unemployment Rate",M,15-24,NULL,Other,3.067,0.786,"Youth (15-24)","Not stated",%,3.067,relative,17792,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2020,"Unemployment Rate",M,25+,NULL,Other,0.429,0.786,"Youth (15-24)","Not stated",%,0.429,relative,17792,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2020,"Unemployment Rate",F,15+,NULL,Other,1.04,0.786,"Child (<15)","Not stated",%,1.04,relative,17792,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2020,"Unemployment Rate",F,15-24,NULL,Other,3.54,0.786,"Youth (15-24)","Not stated",%,3.54,relative,17792,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2020,"Unemployment Rate",F,25+,NULL,Other,0.884,0.786,"Youth (15-24)","Not stated",%,0.884,relative,17792,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2014,"Unemployment Rate",M,15+,NULL,Other,1.056,0.786,"Child (<15)","Not stated",%,1.056,relative,17715,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2014,"Unemployment Rate",M,25+,NULL,Other,0.72,0.786,"Youth (15-24)","Not stated",%,0.72,relative,17715,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2014,"Unemployment Rate",F,15+,NULL,Other,1.753,0.786,"Child (<15)","Not stated",%,1.753,relative,17715,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2014,"Unemployment Rate",F,25+,NULL,Other,1.371,0.786,"Youth (15-24)","Not stated",%,1.371,relative,17715,UR,Unemployment
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (Aggregate levels): Less than basic",Other,0.269,0.786,"Child (<15)","Less than basic",thousands,0.269,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (Aggregate levels): Basic",Other,0.526,0.786,"Child (<15)",Basic,thousands,0.526,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (Aggregate levels): Intermediate",Other,3.402,0.786,"Child (<15)",Intermediate,thousands,3.402,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (Aggregate levels): Advanced",Other,1.463,0.786,"Child (<15)",Advanced,thousands,1.463,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (Aggregate levels): Level not stated",Other,0.032,0.786,"Child (<15)","Not stated",thousands,0.032,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (Aggregate levels): Less than basic",Other,0.262,0.786,"Adults (25-54)","Less than basic",thousands,0.262,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (Aggregate levels): Basic",Other,0.51,0.786,"Adults (25-54)",Basic,thousands,0.51,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (Aggregate levels): Intermediate",Other,3.304,0.786,"Adults (25-54)",Intermediate,thousands,3.304,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (Aggregate levels): Advanced",Other,1.384,0.786,"Adults (25-54)",Advanced,thousands,1.384,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Less than basic",Other,0.011,0.786,"Youth (15-24)","Less than basic",thousands,0.011,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Basic",Other,0.04,0.786,"Youth (15-24)",Basic,thousands,0.04,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Intermediate",Other,0.204,0.786,"Youth (15-24)",Intermediate,thousands,0.204,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Advanced",Other,0.071,0.786,"Youth (15-24)",Advanced,thousands,0.071,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (Aggregate levels): Less than basic",Other,0.258,0.786,"Youth (15-24)","Less than basic",thousands,0.258,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (Aggregate levels): Basic",Other,0.486,0.786,"Youth (15-24)",Basic,thousands,0.486,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (Aggregate levels): Intermediate",Other,3.198,0.786,"Youth (15-24)",Intermediate,thousands,3.198,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (Aggregate levels): Advanced",Other,1.392,0.786,"Youth (15-24)",Advanced,thousands,1.392,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (Aggregate levels): Level not stated",Other,0.032,0.786,"Youth (15-24)","Not stated",thousands,0.032,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (Aggregate levels): Less than basic",Other,0.046,0.786,"Child (<15)","Less than basic",thousands,0.046,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (Aggregate levels): Basic",Other,0.152,0.786,"Child (<15)",Basic,thousands,0.152,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (Aggregate levels): Intermediate",Other,1.928,0.786,"Child (<15)",Intermediate,thousands,1.928,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (Aggregate levels): Advanced",Other,1.679,0.786,"Child (<15)",Advanced,thousands,1.679,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (Aggregate levels): Level not stated",Other,0.042,0.786,"Child (<15)","Not stated",thousands,0.042,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (Aggregate levels): Less than basic",Other,0.041,0.786,"Adults (25-54)","Less than basic",thousands,0.041,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (Aggregate levels): Basic",Other,0.137,0.786,"Adults (25-54)",Basic,thousands,0.137,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (Aggregate levels): Intermediate",Other,1.88,0.786,"Adults (25-54)",Intermediate,thousands,1.88,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (Aggregate levels): Advanced",Other,1.629,0.786,"Adults (25-54)",Advanced,thousands,1.629,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (Aggregate levels): Intermediate",Other,0.134,0.786,"Youth (15-24)",Intermediate,thousands,0.134,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (Aggregate levels): Advanced",Other,0.085,0.786,"Youth (15-24)",Advanced,thousands,0.085,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (Aggregate levels): Less than basic",Other,0.043,0.786,"Youth (15-24)","Less than basic",thousands,0.043,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (Aggregate levels): Basic",Other,0.148,0.786,"Youth (15-24)",Basic,thousands,0.148,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (Aggregate levels): Intermediate",Other,1.794,0.786,"Youth (15-24)",Intermediate,thousands,1.794,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (Aggregate levels): Advanced",Other,1.594,0.786,"Youth (15-24)",Advanced,thousands,1.594,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (Aggregate levels): Level not stated",Other,0.042,0.786,"Youth (15-24)","Not stated",thousands,0.042,absolute,17792,LF,"Labour Force"
