continent,country_clean,ISO_A,year,sector,age_group,indicator,avg_m,avg_f,gap_pct,gap_abs,HDI_2023
Oceania,Palau,PLW_A,2020,Other,"Child (<15)","Labour Force",0.6723000000000001,0.40516666666666656,32.49349877789277,0.26713333333333344,0.786
Oceania,Palau,PLW_A,2020,Other,"Adults (25-54)","Labour Force",0.3386703703703704,0.20732095238095236,28.620428489234342,0.131349417989418,0.786
Oceania,Palau,PLW_A,2020,Other,"Youth (15-24)","Labour Force",0.2057638888888889,0.17062222222222223,9.885023448914463,0.035141666666666675,0.786
Oceania,Palau,PLW_A,2020,Other,"Senior (55+)","Labour Force",0.06552878787878788,0.04427333333333333,10.886990840472185,0.021255454545454557,0.786
Oceania,Palau,PLW_A,2014,Other,"Child (<15)","Labour Force",0.58332,0.43296,14.944368558517203,0.15035999999999997,0.786
Oceania,Palau,PLW_A,2014,Other,"Adults (25-54)","Labour Force",0.3247800865800865,0.29262878787878793,8.825013629819168,0.09930465367965358,0.786
Oceania,Palau,PLW_A,2014,Other,"Youth (15-24)","Labour Force",0.23424999999999993,0.2045555555555556,5.090414945097073,0.029694444444444402,0.786
Oceania,Palau,PLW_A,2014,Other,"Senior (55+)","Labour Force",0.1333888888888889,0.07333333333333335,38.681444199858284,0.060055555555555556,0.786
Oceania,Palau,PLW_A,2020,Other,"Child (<15)","Labour Participation Rate",73.559,59.212,19.504071561603602,14.346999999999994,0.786
Oceania,Palau,PLW_A,2020,Other,"Adults (25-54)","Labour Participation Rate",89.5150909090909,80.14590909090909,10.466594764112905,9.369181818181815,0.786
Oceania,Palau,PLW_A,2020,Other,"Youth (15-24)","Labour Participation Rate",36.4448,28.2348,22.527219246641497,8.21,0.786
Oceania,Palau,PLW_A,2020,Other,"Senior (55+)","Labour Participation Rate",51.08914285714286,36.66057142857142,28.2419524416706,14.428571428571438,0.786
Oceania,Palau,PLW_A,2014,Other,"Child (<15)","Labour Participation Rate",73.27,55.56,24.170874846458297,17.709999999999994,0.786
Oceania,Palau,PLW_A,2014,Other,"Adults (25-54)","Labour Participation Rate",89.58263636363637,75.40254545454546,15.829061841326798,14.180090909090907,0.786
Oceania,Palau,PLW_A,2014,Other,"Youth (15-24)","Labour Participation Rate",37.0432,29.785199999999996,19.593339668279206,7.258000000000003,0.786
Oceania,Palau,PLW_A,2014,Other,"Senior (55+)","Labour Participation Rate",45.53542857142857,29.944,34.2402148405637,15.591428571428569,0.786
Oceania,Palau,PLW_A,2020,Other,"Child (<15)",Employment,5.659,3.807,32.726630146669024,1.8519999999999999,0.786
Oceania,Palau,PLW_A,2020,Other,"Adults (25-54)",Employment,1.666272727272727,1.1180909090909092,32.89868514376123,0.5481818181818177,0.786
Oceania,Palau,PLW_A,2020,Other,"Youth (15-24)",Employment,1.2637999999999998,0.8512000000000001,32.64757081816742,0.41259999999999974,0.786
Oceania,Palau,PLW_A,2020,Other,"Senior (55+)",Employment,0.45042857142857146,0.3077142857142857,31.68411037107517,0.14271428571428574,0.786
Oceania,Palau,PLW_A,2014,Other,"Child (<15)",Employment,5.027,3.795,24.507658643326042,1.2320000000000002,0.786
Oceania,Palau,PLW_A,2014,Other,"Adults (25-54)",Employment,1.524727272727273,1.1488181818181817,24.65418554734082,0.3759090909090912,0.786
Oceania,Palau,PLW_A,2014,Other,"Youth (15-24)",Employment,1.1434,0.8984,21.427322022039533,0.245,0.786
Oceania,Palau,PLW_A,2014,Other,"Senior (55+)",Employment,0.319,0.207,35.109717868338564,0.11200000000000002,0.786
Oceania,Palau,PLW_A,2020,Other,"Child (<15)",Unemployment,0.033,0.04,-21.21212121212121,-0.006999999999999999,0.786
Oceania,Palau,PLW_A,2020,Other,"Adults (25-54)",Unemployment,0.014166666666666668,0.018166666666666664,-28.23529411764703,-0.003999999999999997,0.786
Oceania,Palau,PLW_A,2020,Other,"Youth (15-24)",Unemployment,0.013250000000000001,0.014,-5.660377358490557,-0.0007499999999999989,0.786
Oceania,Palau,PLW_A,2014,Other,"Child (<15)",Unemployment,0.054,0.068,-25.925925925925934,-0.014000000000000005,0.786
Oceania,Palau,PLW_A,2014,Other,"Adults (25-54)",Unemployment,0.043,0.06,-39.53488372093024,-0.017,0.786
Oceania,Palau,PLW_A,2014,Other,"Youth (15-24)",Unemployment,0.034,0.048,-41.17647058823529,-0.013999999999999999,0.786
"North America","El Salvador",SLV_A,2023,Other,"Child (<15)","Labour Force",243.67703333333338,181.48826666666665,16.699432516953415,62.18876666666669,0.678
"North America","El Salvador",SLV_A,2023,Other,"Adults (25-54)","Labour Force",107.36048333333333,84.86486438596492,15.88029341212324,22.495618947368406,0.678
"North America","El Salvador",SLV_A,2023,Other,"Youth (15-24)","Labour Force",85.78368525641025,61.66147884615384,14.522441985289543,24.122206410256407,0.678
"North America","El Salvador",SLV_A,2023,Other,"Senior (55+)","Labour Force",29.269863095238094,20.465750000000003,30.944045887183204,8.804113095238096,0.678
"North America","El Salvador",SLV_A,2022,Other,"Child (<15)","Labour Force",240.54143333333337,170.41935,21.246408814683917,70.12208333333334,0.678
